#draft_year,draft_round,selection,team,firstname,lastname,ilkid,draft_from,leag
1947,0,0,BA1,Larry,Killick,NULL,Vermont,N
1947,0,0,BA1,Bob,Jake,NULL,Vermont,N
1947,0,0,BA1,John,Rusinko,NULL,Penn State,N
1947,0,0,BA1,Harry,Gallatin,GALLAHA01,NE Missouri State Teachers College,N
1947,0,0,BA1,Charles,Raynor,NULL,Houston,N
1947,0,0,BA1,Elmer,Gainer,GAINEEL01,DePaul,N
1947,0,0,BA1,Scotty,Hamilton,NULL,West Virginia,N
1947,0,0,BA1,Hugh,Hampton,NULL,High Point,N
1947,0,0,BA1,Chick,Reiser,NULL,New York University,N
1947,0,0,BA1,Robert,Bolyard,NULL,Toledo,N
1947,0,0,BOS,Ed,Ehlers,EHLERED01,Purdue,N
1947,0,0,BOS,Hank,Biasetti,BIASEHA01,Long Island,N
1947,0,0,BOS,Gene,Stump,STUMPGE01,DePaul,N
1947,0,0,BOS,George,Felt,NULL,Northwestern,N
1947,0,0,BOS,Bob,Alemeida,NULL, ,N
1947,0,0,BOS,George,Petrovick,NULL, ,N
1947,0,0,BOS,John,Ezersky,EZERSJO01,Rhode Island State,N
1947,0,0,BOS,Jack,Hewson,HEWSOJA01,Temple,N
1947,0,0,BOS,John,Kelly,NULL,Notre Dame,N
1947,0,0,CH1,Paul,Huston,HUSTOPA01,Ohio State,N
1947,0,0,CH1,Ben,Schadler,SCHADBE01,Northwestern,N
1947,0,0,CH1,Hank,Decker,NULL,West Texas State,N
1947,0,0,CH1,Gene,Vance,VANCEGE01,Illinois,N
1947,0,0,CH1,Andy,Phillip,PHILLAN01,Illinois,N
1947,0,0,CH1,Ralph,Bishop,NULL,Washington,N
1947,0,0,CH1,Jim,Darden,DARDEJI01,Denver,N
1947,0,0,CH1,Jim,Pollard,POLLAJI01,Stanford,N
1947,0,0,CH1,Don,Smith,SMITHDO03,Minnesota,N
1947,0,0,CH1,Jack,Stone,NULL,Kansas State,N
1947,0,0,NYK,Dick,Holub,HOLUBDI01,Long Island,N
1947,0,0,NYK,Tom,Tomlinson,NULL,Southern Methodist,N
1947,0,0,NYK,Garland,Head,NULL,Texas Tech,N
1947,0,0,NYK,Carl,Reichert,NULL,Findlay,N
1947,0,0,NYK,Ray,Evans,NULL,Kansas,N
1947,0,0,NYK,Andy,Duncan,DUNCAAN01,William & Mary,N
1947,0,0,NYK,Ed,Golub,NULL,Norfolk Naval Training Center,N
1947,0,0,NYK,Ron,Livingston,NULL,St. Mary's (CA),N
1947,0,0,NYK,Dan,Miller,NULL,St. Louis,N
1947,0,0,NYK,Wat,Misaka,MISAKWA01,Utah,N
1947,0,0,PHI,Frank,Crossin,CROSSFR01,Pennsylvania,N
1947,0,0,PHI,Ed,Koffenberger,NULL,Duke,N
1947,0,0,PHI,Norman,Butz,NULL,St. Joseph's (PA),N
1947,0,0,PHI,Jim,Kaeding,NULL,York,N
1947,0,0,PHI,Jim,Pollard,POLLAJI01,Stanford,N
1947,0,0,PIT,Clifton,McNeeley,NULL,Texas Western,N
1947,0,0,PIT,Bob,Alamo,NULL,Santa Clara,N
1947,0,0,PIT,Herman,Knoche,KNOCHHE01,Washington & Jefferson,N
1947,0,0,PIT,Dick,Ives,NULL,Iowa,N
1947,0,0,PIT,Jack,Walton,NULL,DePauw,N
1947,0,0,PIT,Fred,Nagy,NAGYFR01,Akron,N
1947,0,0,PIT,George,Brown,NULL, ,N
1947,0,0,PRO,Walt,Dropo,NULL,Connecticut,N
1947,0,0,PRO,Roy,Lipscomb,NULL,St. Mary's,N
1947,0,0,PRO,John,Mills,MILLSJO01,Hofstra,N
1947,0,0,PRO,Al,Nichols,NULL,Rhode Island State,N
1947,0,0,PRO,Dick,Furey,NULL,St. Thomas (MN),N
1947,0,0,PRO,Robert,Hubbard,NULL,Springfield College,N
1947,0,0,PRO,Joe,Barry,NULL, ,N
1947,0,0,PRO,Bob,Joyce,NULL,Bates,N
1947,0,0,ST1,Jack,Underman,NULL,Ohio State,N
1947,0,0,ST1,Herb,Wilkinson,NULL,Iowa,N
1947,0,0,ST1,Jack,Knopf,NULL,Louisville,N
1947,0,0,ST1,Bob,Kurland,NULL,Oklahoma A&M,N
1947,0,0,ST1,Paul,Napolitano,NAPOLPA01,San Francisco,N
1947,0,0,ST1,Jim,Pollard,POLLAJI01,Stanford,N
1947,0,0,ST1,Bill,Strannigan,NULL,Colorado/Wyoming,N
1947,0,0,TO1,Glen,Selbo,SELBOGL01,Wisconsin,N
1947,0,0,TO1,Red,Rocha,ROCHARE01,Oregon State,N
1947,0,0,TO1,Frank,Broyles,NULL,Georgia Tech,N
1947,0,0,TO1,Wimpy,Quinn,NULL,Oregon,N
1947,0,0,TO1,Paul,Hoffman,HOFFMPA01,Purdue,N
1947,0,0,WSC,Dick,O'Keefe,OKEEDI01,Santa Clara,N
1947,0,0,WSC,Jack,Tingle,TINGLJA01,Kentucky,N
1947,0,0,WSC,Bill,Burke,NULL,St. Mary's,N
1947,0,0,WSC,Abel,Rodriguez,NULL,San Francisco,N
1947,0,0,WSC,Paul,Cloyd,NULL,Wisconsin,N
1947,0,0,WSC,Mat,Zunic,ZUNICMA01,George Washington,N
1947,0,0,WSC,John,Mandic,MANDIJO01,Oregon State,N
1947,0,0,WSC,Irwin,Rothenberg,ROTHEIR01,Long Island,N
1947,0,0,WSC,Saul,Mariaschin,MARIASA01,Harvard,N
1948,0,0,WSC,Fred,Bartell,NULL,Oregon,N
1948,0,0,WSC,Ed,Hughes,NULL,San Jose State,N
1948,0,0,WSC,Thorton,Jenkins,NULL,Missouri,N
1948,0,0,WSC,Leo,Katkaveck,KATKALE01,North Carolina State,N
1948,0,0,WSC,Jack,Nichols,NICHOJA01,Washington,N
1948,0,0,WSC,CT,Parker,NULL,Louisiana Tech,N
1948,0,0,WSC,Jack,Parkinson,PARKIJA01,Kentucky,N
1948,0,0,WSC,Don,Walker,NULL,Sam Houston State,N
1948,0,0,WSC,Al,Williams,NULL,Arkansas,N
1948,0,0,ST1,Jack,Burmaster,BURMAJA01,Illinois,N
1948,0,0,ST1,Gordon,Flick,NULL,Drake,N
1948,0,0,ST1,Robert,Gale,NULL,Cornell,N
1948,0,0,ST1,John,Hoppin,NULL,Dickinson,N
1948,0,0,ST1,Dan,London,NULL,Washington U. (MO),N
1948,0,0,ST1,D,Miller,NULL,St. Louis,N
1948,0,0,ST1,Easy,Parham,PARHAEA01,Texas Wesleyan,N
1948,0,0,ST1,DC,Wilcutt,WILCUDC01,St. Louis,N
1948,0,0,ROC,Bill,Gabor,GABORBI01,Syracuse,N
1948,0,0,ROC,Ed,Keim,NULL,Niagara,N
1948,0,0,ROC,Leo,Kubiak,KUBIALE01,Bowling Green,N
1948,0,0,ROC,Hank,OKeefe,NULL,Canisius,N
1948,0,0,ROC,Johnny,Macknowski,MACKNJO01,Seton Hall,N
1948,0,0,ROC,Lionel,Melamed,NULL,CCNY,N
1948,0,0,ROC,Warren,Stickel,NULL,Syracuse,N
1948,0,0,ROC,Robert,Wanzer,WANZEBO01,Seton Hall,N
1948,0,0,ROC,Paul,Yesavi,NULL,Niagara,N
1948,0,0,ROC,Alex,Athas,NULL,Tulane,N
1948,0,0,PRO,AL,Bennett,NULL,Oklahoma A&M,N
1948,0,0,PRO,Jack,Coleman,COLEMJA01,Louisville,N
1948,0,0,PRO,Ed,Faber,NULL,Trinity,N
1948,0,0,PRO,Verl,Heap,NULL,Arizona State,N
1948,0,0,PRO,Otto,Snellbacher,NULL,Kansas,N
1948,0,0,PRO,Andy,Tonkovich,TONKOAN01,Marshall,N
1948,0,0,PRO,Brady,Walker,WALKEBR01,Brigham Young,N
1948,0,0,PHI,William,Brown,NULL,Maryland,N
1948,0,0,PHI,Hugh,Compton,NULL,Louisville,N
1948,0,0,PHI,Joe,Nelson,NULL,Brigham Young,N
1948,0,0,PHI,Clint,Pace,NULL,Pepperdine,N
1948,0,0,PHI,Roy,Pugh,PUGHRO01,Southern Methodist,N
1948,0,0,PHI,Don,Ray,RAYDO01,Western Kentucky,N
1948,0,0,PHI,Tom,Short,NULL,Kansas Wesleyan,N
1948,0,0,PHI,Joe,Wahl,NULL,Akron,N
1948,0,0,PHI,Andy,Wolfe,NULL,California,N
1948,0,0,NYK,Gene,Berce,BERCEGE01,Marquette,N
1948,0,0,NYK,Leland,Byrd,NULL,West Virginia,N
1948,0,0,NYK,Harry,Gallatin,GALLAHA01,NE Missouri State,N
1948,0,0,NYK,Keith,Grimes,NULL,East Central State,N
1948,0,0,NYK,Melvin,McGaha,MCGAHME01,Arkansas,N
1948,0,0,NYK,Ed,Peterson,PETERED01,Cornell,N
1948,0,0,NYK,Goebel,Ritter,NULL,Eastern Kentucky,N
1948,0,0,NYK,Adolph,Schayes,SCHAYDO01,New York University,N
1948,0,0,NYK,Richard,Shrider,SHRIDDI01,Ohio,N
1948,0,0,NYK,John,Stanisch,NULL,UCLA,N
1948,0,0,CH1,John,Dillon,DILLOJO01,North Carolina,N
1948,0,0,CH1,Ed,Kachan,KACHAED01,DePaul,N
1948,0,0,CH1,Mickey,Marty,NULL,Loras,N
1948,0,0,CH1,Ed,Mikan,MIKANED01,DePaul,N
1948,0,0,CH1,Ed,Mills,NULL,Wisconsin,N
1948,0,0,CH1,Don,Reagan,NULL,Murray State,N
1948,0,0,CH1,Joe,Shafer,NULL,Wheaton,N
1948,0,0,CH1,Odie,Spears,SPEAROD01,Western Kentucky,N
1948,0,0,CH1,Fred,Weber,NULL,Siena,N
1948,0,0,BOS,John,Bach,BACHJO01,Fordham,N
1948,0,0,BOS,Norman,Carey,NULL,Oregon State,N
1948,0,0,BOS,Bob,Curran,NULL,Holy Cross,N
1948,0,0,BOS,Neil,Dooley,NULL,Colgate,N
1948,0,0,BOS,George,Hauptfuhrer,NULL,Harvard,N
1948,0,0,BOS,Jack,Hauser,NULL,Denver,N
1948,0,0,BOS,Marshall,Hawkins,HAWKIMA01,Tennessee,N
1948,0,0,BOS,Tom,Kelly,KELLYTO01,New York University,N
1948,0,0,BOS,Murray,Mitchell,MITCHMU01,Sam Houston State,N
1948,0,0,BOS,Guinn,Phillips,NULL,Texas Wesleyan,N
1948,0,0,BOS,Ray,Wehde,NULL,Iowa State,N
1948,0,0,BA1,Jim,Black,NULL,Occidental,N
1948,0,0,BA1,Darrell,Brown,BROWNDA01,Humboldt State,N
1948,0,0,BA1,Walter,Budko,BUDKOWA01,Columbia,N
1948,0,0,BA1,Robert,Carroll,NULL,West Virginia,N
1948,0,0,BA1,Jake,Carter,CARTEJA01,East Texas State,N
1948,0,0,BA1,Marvin,English,NULL,Newberry,N
1948,0,0,BA1,Gene,Fellmoth,NULL,Whittenberg,N
1948,0,0,BA1,JW,Fullerton,NULL,Arkansas State,N
1948,0,0,BA1,Marshall,Gemberling,NULL,Lebanon Valley,N
1948,0,0,BA1,Vince,Hansen,NULL,Washington State,N
1948,0,0,BA1,Joe,Holland,HOLLAJO01,Kentucky,N
1948,0,0,BA1,Dan,Kraus,KRAUSDA01,Georgetown,N
1948,0,0,BA1,Wayne,Jones,NULL,American International,N
1948,0,0,BA1,Herbert,Krautblatt,KRAUTHE01,Rider,N
1948,0,0,BA1,Paul,Marcincin,NULL,Moravian,N
1948,0,0,FTW,Bobby,Cook,COOKBO01,Wisconsin,N
1948,0,0,FTW,Link,Richmond,NULL,Arizona,N
1948,0,0,FTW,Ken,Rollins,ROLLIKE01,Kentucky,N
1948,0,0,FTW,Murray,Wier,WIERMU01,Iowa,N
1948,0,0,FTW,Ward,Williams,WILLIWA02,Indiana,N
1948,0,0,INJ,Reede,Berg,NULL,Oregon,N
1948,0,0,INJ,Jack,Coleman,COLEMJA01,Louisiana State,N
1948,0,0,INJ,Alex,Hannum,HANNUAL01,Southern California,N
1948,0,0,INJ,Norman,Kohler,NULL,North Carolina,N
1948,0,0,INJ,George,Kok,NULL,Arkansas,N
1948,0,0,INJ,Andy,Kostecka,KOSTEAN01,Georgetown,N
1948,0,0,INJ,Ray,Lumpp,LUMPPRA01,New York University,N
1948,0,0,INJ,Bob,Paxton,NULL,North Carolina,N
1948,0,0,INJ,Jack,Phoenix,NULL,Idaho,N
1948,0,0,INJ,Dick,Wehr,WEHRDI01,Rice,N
1948,0,0,MIE,Cliff,Crandall,NULL,Oregon State,N
1948,0,0,MIE,Arnold,Ferrin,FERRIAR01,Utah,N
1948,0,0,MIE,Earl,Gardner,GARDNEA01,DePauw,N
1948,0,0,MIE,Dee,Gibson,GIBSODE01,Western Kentucky,N
1948,0,0,MIE,Chuck,Hanger,NULL,California,N
1948,0,0,MIE,Ken,Jastrow,NULL,Denver,N
1948,0,0,MIE,Bob,Lowther,NULL,Louisiana State,N
1948,0,0,MIE,Junior,Skogland,NULL,Gustavus Adolphus,N
1948,0,0,MIE,Quentin,Stinson,NULL,Southern Illinois,N
1948,0,0,MIE,Johnny,Orr,ORRJO01,Beloit,N
1949,0,0,MIN,Bob,Harrison,HARRIBO02,Michigan,N
1949,0,0,MIN,Paul,Walther,WALTHPA01,Tennessee,N
1949,0,0,INI,Charlie,Maas,NULL,Butler,N
1949,0,0,INI,Jim,OHalloran,NULL,Notre Dame,N
1949,0,0,INI,JL,Parks,NULL,Oklahoma A&M,N
1949,0,0,FTW,Dal,Zuber,NULL,Toledo,N
1949,0,0,BOS,Bill,Tom,NULL,Rice,N
1949,0,0,BOS,Ed,Little,NULL,Denver JC,N
1949,0,0,BOS,Jim,Simpson,NULL,Bates,N
1949,0,0,BOS,Bill,Vandenburgh,NULL,Washington,N
1949,0,0,BOS,Emerson,Speicher,NULL,Bowling Green,N
1949,0,0,BOS,Bill,Weight,NULL,Brigham Young,N
1949,0,0,BOS,Russ,Washburn,NULL,Colby,N
1949,0,0,BA1,Roger,Wiley,NULL,Oregon,N
1949,0,0,BA1,Jim,McMullen,NULL,Xavier,N
1949,0,0,BA1,Eppa,Rixey,NULL,Kenyon,N
1949,0,0,BA1,Bill,Evans,NULL,Drake,N
1949,0,0,BA1,Tom,Gallagher,NULL,St. Francis,N
1949,0,0,BA1,Bill,Zipple,NULL,Lafayette,N
1949,0,0,NYK,Bill,Kleine,NULL,Missouri Valley,N
1949,0,0,NYK,Don,Bagley,NULL,Notre Dame,N
1949,0,0,NYK,Bob,Prewitt,NULL,Southern Methodist,N
1949,0,0,NYK,Ken,Kearns,NULL,Arkansas,N
1949,0,0,NYK,Bill,Litchfield,NULL,Emporia State,N
1949,0,0,PRO,Paul,Courty,NULL,Oklahoma,N
1949,0,0,PRO,Jack,Theolan,NULL,DePaul,N
1949,0,0,PRO,Carl,Schaeffer,NULL,Alabama,N
1949,0,0,PRO,Bill,Tanzler,NULL,Florida,N
1949,0,0,ST1,Marv,Schatzman,SCHATMA01,St. Louis,N
1949,0,0,ST1,Preston,Ward,NULL,Southwest Missouri,N
1949,0,0,ST1,Jack,Davidson,NULL,Stanford,N
1949,0,0,ST1,Bob,Retherford,NULL,Nebraska,N
1949,0,0,ST1,Joe,Crandall,NULL,Oregon State,N
1949,0,0,ST1,Eddie,Van,NULL,NW Oklahoma,N
1949,0,0,WSC,Jim,Lacy,NULL,Loyola,N
1949,0,0,WSC,Maynard,Haitcock,NULL,George Washington,N
1949,1,0,WSC,Wallace,Jones,JONESWA01,Kentucky,N
1949,1,0,ST1,Ed,Macauley,MACAUED01,St. Louis,N
1949,1,0,PHI,Vern,Gardner,GARDNVE01,Utah,N
1949,1,0,ROC,Frank,Saul,SAULFR01,Seton Hall,N
1949,1,0,PRO,Howie,Shannon,SHANNHO01,Kansas State,N
1949,1,0,NYK,Dick,McGuire,MCGUIDI01,St. John's,N
1949,1,0,BA1,Ron,Livingstone,LIVINRO01,Wyoming,N
1949,1,0,BOS,George,Kaftan,KAFTAGE01,Holy Cross,N
1949,1,0,CH1,Jack,Kerris,KERRIJA01,Loyola (IL),N
1949,1,0,FTW,Bob,Harris,HARRIBO01,Oklahoma State,N
1949,1,0,INI,Alex,Groza,GROZAAL01,Kentucky,N
1949,1,0,MIN,Vern,Mikkelsen,MIKKEVE01,Hamline,N
1949,2,0,INI,Leo,Barnhorst,BARNHLE01,Notre Dame,N
1949,2,0,FTW,John,Oldham,OLDHAJO01,Western Kentucky,N
1949,2,0,CH1,Ralph,Beard,BEARDRA01,Kentucky,N
1949,2,0,BOS,Tony,Lavelli,LAVELTO01,Yale,N
1949,2,0,NYK,Harry,Donovan,DONOVHA01,Muhlenberg,N
1949,2,0,ROC,Jack,Coleman,COLEMJA01,Louisville,N
1949,2,0,PHI,Jim,Nolan,NOLANJI01,Georgia Tech,N
1949,2,0,ST1,John,Orr,ORRJO01,Beloit,N
1949,2,0,WSC,Jim,Owens,OWENSJA01,Baylor,N
