#ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
ABDELAL01,Alaa,Abdelnaby,F,1990,1994,6,10,240,Duke University,1968-06-24
ABDULKA01,Kareem,Abdul-jabbar,C,1969,1988,7,2,225,University of California - Los Angeles,1947-04-16
ABDULMA01,Mahmo,Abdul-rauf,G,1990,2000,6,1,162,Louisiana State University,1969-03-09
ABDULTA01,Tariq,Abdul-wahad,G,1997,2002,6,6,223,University of Michigan,1974-11-03
ABDURSH01,Shareef,Abdur-rahim,F,1996,2007,6,9,225,University of California Berkeley,1976-12-11
ABERNTO01,Tom,Abernethy,F,1976,1980,6,7,220,Indiana University,1954-05-06
ABLEFO01,Forest,Able,G,1956,1956,6,3,180,Western Kentucky University,1932-07-27
ABRAMJO01,John,Abramovic,F,1946,1947,6,3,195,Salem College,1919-02-09
ACKERAL01,Alex,Acker,G,2005,2008,6,5,185,Pepperdine University,1983-01-21
ACKERDO01,Donald,Ackerman,G,1953,1953,6,0,183,Long Island University,1930-09-04
ACRESMA01,Mark,Acres,C,1987,1992,6,11,220,Oral Roberts University,1962-11-15
ACTONCH01,Charles,Acton,F,1967,1967,6,6,210,Hillsdale College,1942-01-11
ADAMSAL01,Alvan,Adams,C,1975,1987,6,9,210,University of Oklahoma,1954-07-19
ADAMSDO01,Don,Adams,F,1970,1976,6,6,210,Northwestern University,1947-11-27
ADAMSGE01,George,Adams,F,1972,1974,6,5,210,Gardner-Webb University,1949-05-15
ADAMSMI01,Michael,Adams,G,1985,1995,5,10,162,Boston College,1963-01-19
ADAMSHA01,Hassan,Adams,G,2006,2008,6,4,220,University of Arizona,1984-06-20
ADDISRA01,Rafael,Addison,F,1986,1996,6,7,215,Syracuse University,1964-07-22
ADELMRI01,Rick,Adelman,G,1968,1974,6,1,175,Loyola Marymount University,1946-06-16
AFFLAAR01,Arron,Afflalo,G,2007,2009,6,5,215,University of California - Los Angeles,1985-11-15
AGERMA01,Maurice,Ager,G,2006,2008,6,5,202,Michigan State University,1984-02-09
AGUIRMA01,Mark,Aguirre,F,1981,1993,6,6,232,DePaul University,1959-12-10
AHEARBL01,Blake,Ahearn,G,2007,2008,6,2,190,Missouri State University,1984-05-27
AINGEDA01,Danny,Ainge,G,1981,1994,6,4,175,Brigham Young University,1959-03-17
AITCHMA01,Matt,Aitch,F,1967,1967,6,7,230,Michigan State University,1944-09-21
AJINCAL01,Alexis,Ajinca,C,2008,2009,7,0,220,,1988-05-06
AKINHE01,Henry,Akin,C,1966,1968,6,10,225,Morehead State University,1944-07-31
ALARIMA01,Mark,Alarie,F,1986,1990,6,8,217,Duke University,1963-12-11
ALCORGA01,Gary,Alcorn,C,1959,1960,6,9,225,Fresno State University,1936-10-08
ALDRILA01,LaMarcus,Aldridge,C,2006,2009,6,11,240,University of Texas,1985-07-19
ALEKSCH01,Chuck,Aleksinas,C,1984,1984,6,11,260,University of Connecticut,1959-02-26
ALEXACO01,Cory,Alexander,G,1995,2004,6,1,185,University of Virginia,1973-06-22
ALEXACO02,Courtney,Alexander,G,2000,2002,6,5,205,Fresno State University,1977-04-27
ALEXAGA01,Gary,Alexander,F,1993,1993,6,7,240,University of South Florida,1969-11-01
ALEXAVI01,Victor,Alexander,C,1991,2001,6,9,265,Iowa State University,1969-08-31
ALEXAJO01,Joe,Alexander,F,2008,2009,6,8,230,West Virginia University,1986-12-26
ALFORST01,Steve,Alford,G,1987,1990,6,2,183,Indiana University,1964-11-23
ALLENBI01,Bill,Allen,C,1967,1967,6,8,205,New Mexico State University,1945-01-01
ALLENBO01,Bob,Allen,F,1968,1968,6,9,205,Marshall University,1946-07-17
